images;title;url;description
5.png;Student Management System (MySQL) PyQt6	;https://github.com/pradivGnanaraj/00_14_MySQL_Management_system_python	;In this portfolio project, I present a Student Management System implemented using the PyQt6 library in Python. The application offers a user-friendly graphical interface for efficiently managing student records within a MySQL database. With functionalities like adding, editing, searching, and deleting student information, this project showcases my proficiency in creating interactive desktop applications.
5.png;ChatBot Application with Openai	;https://github.com/pradivGnanaraj/00_15_ChatGPT_chatbot_python	;The Chatbot Application is a project that showcases the integration of the OpenAI API and the PyQt6 library to create an interactive chatbot interface. The application allows users to engage in conversations with a chatbot, receiving responses generated by OpenAI's language model.
7.png;Form Submission Web App using Flask	;https://github.com/pradivGnanaraj/00_16_FLASK_form_python	;This project showcases a web application built with Flask, a Python web framework, that allows users to submit their personal details through a user-friendly form. The form data is stored in a SQLite database, and upon submission, an email is sent to the user's provided email address with their submitted information. The application utilizes Flask's routing, Flask-SQLAlchemy for database management, and Flask-Mail for sending emails. It features instance-specific configurations, HTML templates for rendering pages, and demonstrates the integration of various technologies to create a functional and interactive web application. This project offers an opportunity to explore web development concepts and serves as a foundation for building more complex applications.
8.png;Rectangle guessing game using Turtle	;https://github.com/pradivGnanaraj/00_app17_Geometry_game_oops_python	;The "Rectangle Guessing Game using Turtle" is a Python script that implements a simple yet interactive guessing game. In this game, players are presented with a randomly generated rectangle on the screen. They are then prompted to guess whether a specific point lies within the rectangle and to estimate the area of the rectangle. The game provides visual feedback using the turtle graphics library, displaying the rectangle and the guessed point.
9.png;Flatmate Bill calculator and Report Generator	;https://github.com/pradivGnanaraj/00_app18_flatmate_bill_oops_python	;The "Flatmates Bill Calculator and Report Generator" is a Python script that streamlines bill splitting and generates PDF reports for shared expenses among flatmates. This practical tool allows users to input the bill amount, period, and information about each flatmate's stay duration. The script then calculates the fair amount each flatmate should pay based on their respective stay days and generates a clear PDF report detailing the bill breakdown.
10.png;Shape Drawing Application	;https://github.com/pradivGnanaraj/00_app19_math_painter_oops_python	;The "Shape Drawing Application" is a Python project that empowers users to create and visualize rectangles and squares on a canvas. This application, developed using object-oriented programming principles, utilizes the numpy and Pillow (PIL) libraries to create the canvas and render shapes. Users can input dimensions, positions, and color details for the shapes, and the final canvas can be saved as an image.
11.png;Photo Sharing App	;https://github.com/pradivGnanaraj/00_app20_webcamphoto_share_oops_python	;The Photo Sharing App is a Kivy-based Python application designed to provide users with a simple yet powerful platform for capturing, sharing, and managing their photos. With an intuitive and user-friendly interface, this app enables users to capture images using their device's camera, generate shareable links for these images, and conveniently copy the links to their clipboard. Developed using the Kivy framework, the app exhibits my expertise in creating interactive and visually appealing graphical user interfaces.
12.png;Flatmates Bill Calculator	;https://github.com/pradivGnanaraj/00_app21_flatmate_weapp_oops_python	;The "Flatmates Bill Calculator" is a web application built using Flask that facilitates easy bill sharing and calculation among flatmates. This project offers a user-friendly interface where users can input bill details, including the amount and period, along with information about each flatmate's stay duration. The application then intelligently calculates the fair share for each flatmate based on their respective time in the house.
13.png;Calorie Calculator	;https://github.com/pradivGnanaraj/00_app22_calories_app_oops_python	;The Calorie Calculator is a web application designed to help users estimate their optimal daily calorie intake based on various factors such as weight, height, age, and local temperature. The application is built using the Flask framework and incorporates external temperature data using web scraping techniques. Its user-friendly interface allows users to input their information and receive accurate calorie calculations.
14.png;Email News Sender	;https://github.com/pradivGnanaraj/00_app23_autoamte_emails_oops_python	;The "Email News Sender" project is a Python script designed to deliver personalized news updates to recipients' email addresses based on their specified interests. This project employs the News API to fetch recent articles and the Yagmail library to send emails. With a well-organized structure, the project allows you to easily configure API keys, Gmail credentials, and recipient information.
15.png;Web Application with instant Dictionary	;https://github.com/pradivGnanaraj/00_app24_isntant_dict_webapp_api_oops_python	;This project showcases a dynamic web application designed to provide instant definitions for English words. Leveraging the JustPy framework, the application offers a user-friendly interface with multiple pages, including Home, Dictionary, and About. Users can input words on the Dictionary page and receive real-time definitions as they type. Definitions are sourced from a curated dataset. The project also features thoughtful navigation and styling, enhancing the user experience. The repository includes comprehensive documentation, making it easy for others to explore and contribute. If you're looking for a practical example of a web application using a Python framework, this project serves as an excellent reference.
16.png;Instant Dictionary API and Documentation	;https://github.com/pradivGnanaraj/00_app25_instant_dict_api_oops_python	;The Instant Dictionary API and Documentation project provides a simple yet powerful API for retrieving instant word definitions. It also includes a user-friendly documentation page that explains how to use the API effectively.
17.png;Cinema Seat Booking System	;https://github.com/pradivGnanaraj/00_app26_cinema_booking_app_oops_python	;The Cinema Seat Booking System is a Python application that simulates a cinema seat booking experience. It allows users to select and purchase cinema seats, validate their bank card information, and receive a digital ticket in PDF format.
